qualtrics_id,trial_number,match_type_0,match_type_1,response,response_type
R_1kH6NuS3MFdCgvH,6,Obj,Rel,0,Obj
R_1kH6NuS3MFdCgvH,7,Obj,Rel,0,Obj
R_1kH6NuS3MFdCgvH,2,Rel,Obj,1,Obj
R_1kH6NuS3MFdCgvH,4,Rel,Obj,1,Obj
R_1kH6NuS3MFdCgvH,8,Obj,Rel,0,Obj
R_1kH6NuS3MFdCgvH,1,Rel,Obj,1,Obj
R_1kH6NuS3MFdCgvH,3,Rel,Obj,1,Obj
R_1kH6NuS3MFdCgvH,5,Obj,Rel,0,Obj
R_2BmMaK6qZ72JwUo,4,Rel,Obj,1,Obj
R_2BmMaK6qZ72JwUo,1,Rel,Obj,0,Rel
R_2BmMaK6qZ72JwUo,2,Rel,Obj,0,Rel
R_2BmMaK6qZ72JwUo,5,Obj,Rel,1,Rel
R_2BmMaK6qZ72JwUo,7,Obj,Rel,0,Obj
R_2BmMaK6qZ72JwUo,3,Rel,Obj,1,Obj
R_2BmMaK6qZ72JwUo,8,Obj,Rel,0,Obj
R_2BmMaK6qZ72JwUo,6,Obj,Rel,1,Rel
R_3frS5bkaT1hzbPh,3,Rel,Obj,1,Obj
R_3frS5bkaT1hzbPh,4,Rel,Obj,1,Obj
R_3frS5bkaT1hzbPh,2,Rel,Obj,1,Obj
R_3frS5bkaT1hzbPh,7,Obj,Rel,0,Obj
R_3frS5bkaT1hzbPh,1,Rel,Obj,1,Obj
R_3frS5bkaT1hzbPh,6,Obj,Rel,0,Obj
R_3frS5bkaT1hzbPh,8,Obj,Rel,0,Obj
R_3frS5bkaT1hzbPh,5,Obj,Rel,0,Obj
R_38d0yOIMg2IDKPD,2,Rel,Obj,0,Rel
R_38d0yOIMg2IDKPD,6,Obj,Rel,0,Obj
R_38d0yOIMg2IDKPD,3,Rel,Obj,1,Obj
R_38d0yOIMg2IDKPD,8,Obj,Rel,1,Rel
R_38d0yOIMg2IDKPD,4,Rel,Obj,0,Rel
R_38d0yOIMg2IDKPD,7,Obj,Rel,1,Rel
R_38d0yOIMg2IDKPD,5,Obj,Rel,1,Rel
R_38d0yOIMg2IDKPD,1,Rel,Obj,0,Rel
R_2c60t6KOIDTWPQb,4,Rel,Obj,1,Obj
R_2c60t6KOIDTWPQb,6,Obj,Rel,0,Obj
R_2c60t6KOIDTWPQb,3,Rel,Obj,0,Rel
R_2c60t6KOIDTWPQb,5,Obj,Rel,0,Obj
R_2c60t6KOIDTWPQb,8,Obj,Rel,0,Obj
R_2c60t6KOIDTWPQb,7,Obj,Rel,1,Rel
R_2c60t6KOIDTWPQb,2,Rel,Obj,0,Rel
R_2c60t6KOIDTWPQb,1,Rel,Obj,0,Rel
R_2UbCC7xz1UziliD,2,Rel,Obj,0,Rel
R_2UbCC7xz1UziliD,5,Obj,Rel,1,Rel
R_2UbCC7xz1UziliD,7,Obj,Rel,1,Rel
R_2UbCC7xz1UziliD,1,Rel,Obj,0,Rel
R_2UbCC7xz1UziliD,8,Obj,Rel,1,Rel
R_2UbCC7xz1UziliD,3,Rel,Obj,0,Rel
R_2UbCC7xz1UziliD,6,Obj,Rel,1,Rel
R_2UbCC7xz1UziliD,4,Rel,Obj,0,Rel
R_3NxnmHwGoDxtu4s,3,Rel,Obj,1,Obj
R_3NxnmHwGoDxtu4s,2,Rel,Obj,0,Rel
R_3NxnmHwGoDxtu4s,4,Rel,Obj,0,Rel
R_3NxnmHwGoDxtu4s,7,Obj,Rel,1,Rel
R_3NxnmHwGoDxtu4s,8,Obj,Rel,1,Rel
R_3NxnmHwGoDxtu4s,5,Obj,Rel,1,Rel
R_3NxnmHwGoDxtu4s,6,Obj,Rel,1,Rel
R_3NxnmHwGoDxtu4s,1,Rel,Obj,0,Rel
R_RgdaG1r6ySaED3b,8,Obj,Rel,0,Obj
R_RgdaG1r6ySaED3b,4,Rel,Obj,1,Obj
R_RgdaG1r6ySaED3b,7,Obj,Rel,0,Obj
R_RgdaG1r6ySaED3b,5,Obj,Rel,0,Obj
R_RgdaG1r6ySaED3b,2,Rel,Obj,1,Obj
R_RgdaG1r6ySaED3b,3,Rel,Obj,1,Obj
R_RgdaG1r6ySaED3b,6,Obj,Rel,0,Obj
R_RgdaG1r6ySaED3b,1,Rel,Obj,1,Obj
R_3CE2gCFZK0jtWCd,3,Rel,Obj,1,Obj
R_3CE2gCFZK0jtWCd,6,Obj,Rel,1,Rel
R_3CE2gCFZK0jtWCd,2,Rel,Obj,1,Obj
R_3CE2gCFZK0jtWCd,4,Rel,Obj,1,Obj
R_3CE2gCFZK0jtWCd,1,Rel,Obj,1,Obj
R_3CE2gCFZK0jtWCd,7,Obj,Rel,0,Obj
R_3CE2gCFZK0jtWCd,8,Obj,Rel,0,Obj
R_3CE2gCFZK0jtWCd,5,Obj,Rel,0,Obj
R_3rMN6IUjtWzaYdA,5,Obj,Rel,0,Obj
R_3rMN6IUjtWzaYdA,7,Obj,Rel,0,Obj
R_3rMN6IUjtWzaYdA,1,Rel,Obj,1,Obj
R_3rMN6IUjtWzaYdA,3,Rel,Obj,1,Obj
R_3rMN6IUjtWzaYdA,8,Obj,Rel,0,Obj
R_3rMN6IUjtWzaYdA,6,Obj,Rel,0,Obj
R_3rMN6IUjtWzaYdA,2,Rel,Obj,1,Obj
R_3rMN6IUjtWzaYdA,4,Rel,Obj,1,Obj
R_pgCwFopl4N7tYjf,7,Obj,Rel,0,Obj
R_pgCwFopl4N7tYjf,4,Rel,Obj,1,Obj
R_pgCwFopl4N7tYjf,2,Rel,Obj,1,Obj
R_pgCwFopl4N7tYjf,1,Rel,Obj,1,Obj
R_pgCwFopl4N7tYjf,5,Obj,Rel,0,Obj
R_pgCwFopl4N7tYjf,3,Rel,Obj,1,Obj
R_pgCwFopl4N7tYjf,6,Obj,Rel,0,Obj
R_pgCwFopl4N7tYjf,8,Obj,Rel,0,Obj
R_3mfbXcSlJMSlbJg,2,Rel,Obj,1,Obj
R_3mfbXcSlJMSlbJg,7,Obj,Rel,0,Obj
R_3mfbXcSlJMSlbJg,8,Obj,Rel,1,Rel
R_3mfbXcSlJMSlbJg,1,Rel,Obj,1,Obj
R_3mfbXcSlJMSlbJg,3,Rel,Obj,0,Rel
R_3mfbXcSlJMSlbJg,5,Obj,Rel,1,Rel
R_3mfbXcSlJMSlbJg,4,Rel,Obj,1,Obj
R_3mfbXcSlJMSlbJg,6,Obj,Rel,0,Obj
R_ZsMPn5XJ1D0EdDX,6,Obj,Rel,0,Obj
R_ZsMPn5XJ1D0EdDX,3,Rel,Obj,1,Obj
R_ZsMPn5XJ1D0EdDX,5,Obj,Rel,0,Obj
R_ZsMPn5XJ1D0EdDX,8,Obj,Rel,0,Obj
R_ZsMPn5XJ1D0EdDX,1,Rel,Obj,1,Obj
R_ZsMPn5XJ1D0EdDX,2,Rel,Obj,1,Obj
R_ZsMPn5XJ1D0EdDX,4,Rel,Obj,1,Obj
R_ZsMPn5XJ1D0EdDX,7,Obj,Rel,0,Obj
R_27PhNRrx7TiOnxL,7,Obj,Rel,0,Obj
R_27PhNRrx7TiOnxL,5,Obj,Rel,0,Obj
R_27PhNRrx7TiOnxL,8,Obj,Rel,0,Obj
R_27PhNRrx7TiOnxL,6,Obj,Rel,0,Obj
R_27PhNRrx7TiOnxL,3,Rel,Obj,1,Obj
R_27PhNRrx7TiOnxL,1,Rel,Obj,1,Obj
R_27PhNRrx7TiOnxL,2,Rel,Obj,1,Obj
R_27PhNRrx7TiOnxL,4,Rel,Obj,1,Obj
R_1OE4UYt6m2Rizjh,6,Obj,Rel,1,Rel
R_1OE4UYt6m2Rizjh,7,Obj,Rel,1,Rel
R_1OE4UYt6m2Rizjh,4,Rel,Obj,0,Rel
R_1OE4UYt6m2Rizjh,2,Rel,Obj,0,Rel
R_1OE4UYt6m2Rizjh,5,Obj,Rel,1,Rel
R_1OE4UYt6m2Rizjh,3,Rel,Obj,1,Obj
R_1OE4UYt6m2Rizjh,8,Obj,Rel,1,Rel
R_1OE4UYt6m2Rizjh,1,Rel,Obj,1,Obj
R_OxLEJkniZlsCYut,3,Rel,Obj,0,Rel
R_OxLEJkniZlsCYut,1,Rel,Obj,0,Rel
R_OxLEJkniZlsCYut,4,Rel,Obj,0,Rel
R_OxLEJkniZlsCYut,2,Rel,Obj,0,Rel
R_OxLEJkniZlsCYut,6,Obj,Rel,1,Rel
R_OxLEJkniZlsCYut,7,Obj,Rel,1,Rel
R_OxLEJkniZlsCYut,8,Obj,Rel,1,Rel
R_OxLEJkniZlsCYut,5,Obj,Rel,1,Rel
R_2diK6ujlpXeIGGg,1,Rel,Obj,0,Rel
R_2diK6ujlpXeIGGg,5,Obj,Rel,1,Rel
R_2diK6ujlpXeIGGg,7,Obj,Rel,1,Rel
R_2diK6ujlpXeIGGg,8,Obj,Rel,1,Rel
R_2diK6ujlpXeIGGg,2,Rel,Obj,0,Rel
R_2diK6ujlpXeIGGg,3,Rel,Obj,0,Rel
R_2diK6ujlpXeIGGg,4,Rel,Obj,0,Rel
R_2diK6ujlpXeIGGg,6,Obj,Rel,1,Rel
